JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Sr. Business Data Analyst,NTT DATA Services,"Charlotte, NC","Create reporting metrics for senior leadership/stakeholders to indicate workstream(s) status and health.
1+ year(s) of experience developing reports, analytics,…",,18 days ago,https://www.indeed.com/rc/clk?jk=171a1b17c28eec77&fccid=ac38a400acc8fe73&vjs=3
Machine Learning Engineer,Universal Logic,"Charlotte, NC","The job entails working with a dedicated, highly educated team of engineers to develop and implement machine learning algorithms and robust reactive robot…",,30+ days ago,https://www.indeed.com/rc/clk?jk=44afaa6f2aa60431&fccid=62f69cfae54b5af9&vjs=3
Machine/Deep Learning Postdoc Fellow,UNC Charlotte,"Charlotte, NC","The incumbent will develop and apply machine/deep learning methods for big data analysis, integration and visualization.",,18 days ago,https://www.indeed.com/company/University-of-North-Carolina-at-Charlotte/jobs/Machine-Deep-Learning-Postdoc-Fellow-a799366a8ae99fea?fccid=75335e89972ea010&vjs=3
"Senior Data Analyst, Connected Services",Red Ventures,"Charlotte, NC","In this role, you will work closely with business partners and data team to identify, design, and implement data products and strategic insights that simplify…",,30+ days ago,https://www.indeed.com/rc/clk?jk=6f11ca563f5a5683&fccid=c39dcf34372f1519&vjs=3
Business Insights Artificial Intelligence & Intelligent Automation Managing Director,NTT DATA Services,"Charlotte, NC","Our consultants work across industries, bringing expertise in data, data science and analytics, intelligent automation, and technology advisory.",,8 days ago,https://www.indeed.com/rc/clk?jk=af4d706decf11b9e&fccid=ac38a400acc8fe73&vjs=3
WorkFusion Machine learning Consultant,Infosys Limited,"Charlotte, NC","The candidate will help manage Cognitive Automation Projects.
The candidate will apply knowledge of technologies, applications, methodologies, processes and…",,17 days ago,https://www.indeed.com/rc/clk?jk=3a5cdba6cf6190e6&fccid=c67533a523c83a4c&vjs=3
Sr Data Scientist with DOD required,Data Bridge Consultants,"Charlotte, NC",C#.NET Framework Familiar with Java Enterprise Familiar with Rest API Familiar with Node JSA deep passion for innovation and problem solving Skills that are a…,,30+ days ago,https://www.indeed.com/rc/clk?jk=e5a689de25dc4e44&fccid=eb7bcec5d5284bf2&vjs=3
Senior Big Data Engineer,Wells Fargo,"Charlotte, NC","Extracting business data from multiple structured and unstructured data sources, utilizing data pipeline to ingest data in Enterprise Data Lake (MapR DB HDFS).",,4 days ago,https://www.indeed.com/rc/clk?jk=92c3f8f6d6c20b40&fccid=78bbcd26e39621f5&vjs=3
Data Management Consultant 3 / Personalization Artificial Intelligence / Machine Learning (AI/ML),Wells Fargo,"Charlotte, NC","Serve as a data subject matter expert (SME) to provide data profiling, requirements creation, target state capabilities, and general data analysis support.",,16 days ago,https://www.indeed.com/rc/clk?jk=fad48318ffa9e874&fccid=78bbcd26e39621f5&vjs=3
Senior Data Analyst,i3infotek,"Charlotte, NC","Self-starter, Quick learner and able to glean insights from the data and present it clearly.
Experience identifying critical data elements, knowledge of Data…",,30+ days ago,https://www.indeed.com/rc/clk?jk=234a18b8d46684ac&fccid=aaca0acec9393413&vjs=3
"Data Strategy Architect - Cloud, Big Data, Analytics, ML/AI/Data Science",Cambay Digital,"Charlotte, NC","Own the technical relationship with the client, be a technical subject matter expert and principle data evangelist across the planning effort that intersect the…",,30+ days ago,https://www.indeed.com/rc/clk?jk=997f07d89faf553f&fccid=36554b721e565cc7&vjs=3
Technology Executive - Digital and Data Leader Collections and Servicing,Wells Fargo,"Charlotte, NC",Demonstrated ability to manage a large portfolio of technology efforts across several major lines of business and effectively partner/influence at the senior…,,9 days ago,https://www.indeed.com/rc/clk?jk=798f2bef32285978&fccid=78bbcd26e39621f5&vjs=3
WorkFusion - Machine Learning Senior Consultant,Infosys Limited,"Charlotte, NC","The candidate will help manage Cognitive Automation Projects.
The candidate will apply knowledge of technologies, applications, methodologies, processes and…",,18 days ago,https://www.indeed.com/rc/clk?jk=d3f059a320fa13b5&fccid=c67533a523c83a4c&vjs=3
Machine Learning Engineer,Botkeeper Inc,"Charlotte, NC","Work with data engineering teams to enrich the data that is available for training models, make recommendations for new data sources, and implement data…",,30+ days ago,https://www.indeed.com/rc/clk?jk=a0cac97e6f7edb72&fccid=80b98474118bfc17&vjs=3
Data Scientist,MSC Industrial Supply,"Davidson, NC","O Collaborates with cross-functional data and product teams across business applications to access and manipulate data, explain data gathering requirements,…",,30+ days ago,https://www.indeed.com/rc/clk?jk=a8e097f67674aca8&fccid=03d1cab2c90ea3c2&vjs=3
Data Science Consultant SME,Meridian Technologies,"Charlotte, NC","Perform data exploration and data mining.
Discover business narratives told by the data and present them to other scientists, business stakeholders, and…",,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMSIhDZ4aDe3idA9JYTkRcS2uZLmhduZ-CxViPWE3bMTqEU9-91rTLqSIIAEWrTw0yFo4pBgL7V3QPczLkgSFtlnVfmybPf7fAU63wq7QNl0b7hYa2lwnK7npYhAmpIaEGAwLzBnr1HzuVarP4TQh3eyrmXGJWMlJ8V8WZ7Mu_2BeKs-IFnOIgSZakUolON8GLpz0HFVqExJhNme_9j8KQtjvbFYlINnH4mnDBa5t56ifNgi8xF_3FAnbQaSrhbTIFEu71UvorKReRyFGZGVZJ8meeqPwKCNqAqwnNm7_Hb219CqwxbiFqzAf6MFhnY9LIzsIjPY4xPqjgUTd3k0qz38j5Z1ckbWTu9isdeFoTFQPhL2uKUrZVkp8kxWmhoNcOagT8c2lf0rsNNiBLWvcsFJe8bPf6JrATFWVDqydY3RZUwCEZ6nBl5qNEYoI3iflBnkqpVDSpKZf6P_ReyuTGKFcomS6snho=&p=10&fvj=1&vjs=3
Data Scientist,"Pyramid Consulting, Inc","Charlotte, NC","Perform data exploration and data mining.
Client business narratives told by the data and present them to other scientists, business stakeholders, and managers…",,17 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bjic9BpODao-m9BEup4myv2yv9o6hanv70kCRpjMjSDcmmrD9YS-C3oR4_7EU-DV3_MOd0n6ADolXtSPDqZc3MQsNbHGun35yurOGzxnQbNSozOUufdZLietqTDPBZJ_DhNOQ0QC8CfOaU5KPiSoeAcs_DyGCXDbX9PsuSm3cTt52fHlIFfoeriw8WaVXUaF4P--P6OTWPOqGoIzfdIblO6h9anVTZRULUsgfeIDBAs816wRCzFz6cdo024HuZihlSPIsWv6MA98ed91CTr6a3f8CpQ282MtlAvIExnSPWsiF4CBG1FUpK21cWEgcAWj_aIzhSz5YelfD7TlS4-tHqKchfil55YGbqbJnWCUtzWETZTlsG_EfuKFusPk0nIn9mUa1C_wLsZL0OTo4RgM-c6mGrXMCDJq8c1DOR5r9XlbgjyG_qM_YWVUCp0V-t-hNvPfvfKhhUPW0j_4JXgqL2ajeNYTLWVIVlNu40-WTFDxz4UEnO2sXf99r7B9jv5IYrgp7Cwyo4ubugBR9gxV-KJTYrpEKl77E6MgQXHbZKQz_IJapJjJH8FbARu35mmbT0Iit1j0yE7b0_EhqZEdII-qAXEDdhFwUNyTKx3ClPwIIki6VdZdZwUxGizaMryc2Xy9ZVKMZ8aeCFXsWBLLi_vNVu8JROFSk14BF_yIxJbD9KP9v1qucTsexSVpJExg89deydtxjWPL3ROgNqXXzcuPBBnFCSZ0lRM_OVypd4OaWYOEQM1MdC5-j1VTbtjAFZmYTlfgnDQrZn7wgmcKmia57dD0WbkNS5G1Lyo8DI6LgMRTE2-BYGWYgxkCa8_ccs9Xj6aqiCjDbzpMc5DBneS963zAX2iIITItLOgmEH9VqZpCUOiRy0akyoLd4X_Z14ukMeTckbOmNButdoW2pgnC0NgYVM-TFsWt6mGzDYYG2PZU_qfUyi6dtjZ98o4Mh-saX_C0dvoGNlHboUEFH0N9XnYWFiEC0_cbvHskXzew==&p=11&fvj=0&vjs=3
Data Scientist,AccruePartners,"Charlotte, NC","Opportunity to analyze various sets of data to help identify various trends along with optimizations.
3-5 years of experience sourcing cleaning and validating…",,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFT9rQaxa2Xft6ZhfuCJ3nISOVyKdn6K_hPODsRhi1N-a_TAHK2MwRO8kgnDnXpKmCk-Lwe7DNQ-KwPzj_l15CTlcMEFbGAvWQEDLFnZbQO_qOyM7xRb-0FlNPZ4JoRF68UU-gVvpyfol5fJKg84N6MyvPYY5LGFOuNjiRmfcBfoJ8nXfiWrxJyouellqwjqhOdb48QE1erYo-GBCgV8w5p4HO-IFc8xV5opiOfTZ9u_A2o-X38MnXkrB7jVtRMNzR-pe9b9UzKukOlWvqC1Ubf5hZsZnlvzw7naiFU6mpwZX__ZLX_X7mKDjJflRURsMW9ckt9IR6z2P8ex_aOyh8f9nppZ8JD5tDnQCdbWxna7jHExXNBZQeFGvuUFrDG-7NLyuMamB-mcVa2EEsyO-BRFg==&p=12&fvj=0&vjs=3
Data Science Fellow,The Data Incubator,United States,"By the end of the program, you’ll have the skills and tools you need to become one of the leading data scientists of the future.",,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AFcTrA1_uKpZHrLOjwp2Xyaym5SxGSiM5Y5L77SresXLp9O6CsoIptZaJuEMhR_zGKN2gn9c3kTqK4V6I8mfRTLMkDAwGdnsN54yD75HhxeJxvIt9b-NRCrXWNVkDviX4GHpU8x9omX4ozSueFNmfv4Bhb5buDaz9onqFjj8KVNynv_fvv1XCszg5--mbRktrtmjJgxOpa-eO1x7UuvbyRi7FTaB_M_kuRX7R17MOR6TaL1zb7h-12LzSdho891MU_oDa4JpeHDU_V55Vn4B_3c8roBPJgCniv4OsHrmuLoe6rcZ2ZZY8AKB4_fwh7KNYa1CGC5ABy7-mZ67ecerhBpelfgGE9drTZXff7dDY7obA3gPbhvGMJ23_ToFD76o3TkcAOJCHgYxWB2i4kde7Fh-v9JuhAdW-BbFJ9XAZ9Ncwsl-ZM_N-DxmVPj_XvvCzSko3n8aBGwA==&p=13&fvj=1&vjs=3
Actuarial Data Scientist,Selby Jennings,"Charlotte, NC","Further the development of their data analytics tool-kit.
Create data analytics tools that will serve as the basis for establishing best estimate assumptions…",,4 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ac1dQX5O4bM0SP6UJQV27qUKlsnOLo2dFi0v4Kq4pXXbjTLEo__hQoGQbeCuKJDt0JoMTZ3hivDJF-6sN_Mm8oRF7U6XsMm4g0mV-otUuPQAfQ00udzbpvkrOPFPUg0o9jBlDX6_wWqDNWjPyceUxZklgChuy8fnLJAy9tKfgiBYEYV6kwX43Dfow76pUnAuz_tMXKBuK6tSVER0qy5oChJKjZecivzHDT-pbaFQWoBmuy_Mnw7Z7wu8xPf2_-ss5Gexv3GADQZgldFY9Dh-Tlgg_Uh8CdI5ODPaweDSrAqWrpFPiAQYHvwaG0czAHIRGUsO8g7ndoDwbgJkqWsTtEkrFJVEYXH2U62xVj2nZnOSojC3AMF1icdT8S_FzuN8hXVvwDqZB87f82G0KNQvEqUwL4qQY1PoQJg-91sUyi0MoQ0LqLrY7G7mCq8g7gBXlHMMGCF2Ya-CtPlo6cOhIm6UN_KFhJ-mHR2CJt3J29FJVIcGiWcNFMUmgCszSLTfPflu-hydhcvw==&p=14&fvj=0&vjs=3
"Azure Cloud Enablement - Analytics & Cognitive, Consultant",Deloitte,"Charlotte, NC","Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",,30+ days ago,https://www.indeed.com/rc/clk?jk=3695640109a2325d&fccid=9e215d88a6b33622&vjs=3
"Azure Cloud Enablement - Analytics & Cognitive, Senior Consultant",Deloitte,"Charlotte, NC","Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",,30+ days ago,https://www.indeed.com/rc/clk?jk=6c2ec32317bd76fc&fccid=9e215d88a6b33622&vjs=3
"AWS Cloud Enablement - Analytics & Cognitive, Senior Consultant",Deloitte,"Charlotte, NC","Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",,30+ days ago,https://www.indeed.com/rc/clk?jk=e47fc8b5b993ccb1&fccid=9e215d88a6b33622&vjs=3
"Artificial Intelligence (Full Stack Developer), Senior Consultant - Applied Artificial Intelligence",Deloitte,"Charlotte, NC","The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast…",,30+ days ago,https://www.indeed.com/rc/clk?jk=a1de9f83c0ba1936&fccid=9e215d88a6b33622&vjs=3
